有口亦难分诉,亚,奢苯男洼垚侠恩蜡总亚
笔上难写心中情,白,淼敦梨尼煌叮扶跳涸白
到此搁笔到此停,头,閒蕾圭悲厕筮守势袅头
有情日后成双对,偕,林闵鲸蔷乳占步泊筚偕
无情日后难相逢,是,词幸尔溃唔菹涸治糕是
石榴花开慢慢红,成,叩晴陈珏泓梀措仓炝成
冷水冲糖慢慢融,双,窈邓菟衣虔白奕汪谣双
只要两人心不变,成,碛诱拐淅敖扅吞槊耗成
总有一天会相逢,对,任浛贿牧宫陕绚闪薨对
就此搁笔就此停,不,备玲霸坑鹅皿夹榴怀不
石榴开花慢慢红,多,彤沗滇远笼们胥枭诸多
冰水冲糖慢慢溶,么,丝坝晦爸诤哽碜翔企么
总有一日得相逢,你,吗汴咬亿啊绌都技悦你
笔上难写心上情,彼,脲誉镍辈婀巫胕题羁彼
无情以后难相逢,友,沁樱魅掱县更夥淅毙友
冷水冲糖慢慢溶,活,禺慑崖羯奖遗虽掩肿活
只有两人心不变,快,把氏丞黯澡止憩暝嘲快
总有一天得相逢,乐,蜂芜夯崭似茎缁享兑乐
八兄弟 同赏月,脱,爻叔邮疼渺彩秆裂蛇脱
白痴,保,陛鼓板仗苗划诵瓜炽保
半部春秋,秦,崖卿弯夵踮寿达断伴秦
半导体,付,艮町氏望奉旧瀚士吵付
半个月,胖,琉芮趾肮氯掌赫昙淆胖
半真半假,值,绚权互飘间渠宛芳故值
宝岛姑娘,始,爸珠荏河幽肛培蚤晴始
闯王失马,门,悸钡魂闭茗岿胕菠题门
边打边谈,订,个笈渴狮卸泵篓扳霁订
不是男孩,姓,鑫随荤悟媚赠驴首幼姓
部位相反,陪,斩卜霁进骡哉患虔豪陪
草木之中有一人,茶,断稳渥琬旗徉灭伤普茶
草上飞,早,吟弋乍邱瓠洛等晋智早
长期住医院,疚,夕翻叹嵊叶伺扶忧醉疚
乘人不备,乖,庄憾焚阳箔驼翕陕掌乖
打断念头,心,脉胥扩菁珏已盲课耷心
添丁进口,可,丈真茁周快楷重咆减可
春风吹又生,薪,勿蒯箕梨雄轵骟倍漆薪
春和秋都不热,秦,颖曹骤勉键荃贝断逆秦
土上有竹林 土下一寸金,等,待脵劾译汗鲳葩肚轵等
兔儿头上戴顶帽 满腹苦水无处申,冤,见董正琨尚蜀逆泗箫冤
文武合一,斌,醢卖分播甜斯佑总牯斌
岂止百里挑一,皑,埔腿副妙羁座检寄哟皑
我没有他有 天没有地有,也,肺虑继挫炭砖乳系虔也
小两口一条心,患,哇周艳着绺令杈击哈患
小人国,付,弘鲸片投时孙俪架姝付
谢绝参观,企,钬矿拌平蝇翩于槿响企
休要丢人现眼,相,半漯夙螅窥蝴义关验相
森林大火,焚,炜票员跌忍菲奖想博焚
旭日东升,九,床宅皑棋直钰尊执愈九
独留花下人 有情却无心,倩,嗔力枪塔戥天轻姚脸倩
多一点就不准,淮,檗憾毓枫棂彪创柬乐淮
东洋兵,晖,倍远冀嫖现蒙嘴拽异晖
儿女双全,好,丢笌东唔迷胐恩拙载好
二木不成林,相,未搬酒酿抹钻榭漓豉相
二人手拉手 钢丝绳上走,丛,臆眯凬黜皂郓愣混婵丛
二人土上蹲,坐,疾咕炳残茜初场崛嵩坐
二山在一道 猜出便错了,击,宴祝蠱熔寸昶凝抵寅击
二十四小时,旧,封吃要卡辞期简绷靖旧
饭没做熟,炊,臆觑坝曹岳枸田道清炊
飞蛾扑火,烛,喵秃澳各明褚苯虫北烛
一斤多一点,斥,膜半家沿扮怛祥水脵斥
十女同耕半边田,妻,淄药档蛸刌钙昧泓来妻
十叁点,汁,敝预促泊店璃闺佻战汁
十五天,胖,厦立嫂叔迆耗吉世俄胖
十六两多一点,斥,窖耳泪洞舴踪琪胜立斥
一木走过田中央,东,戈梦茴跕和伏坝直珊东
石头成堆,磊,薨纱柬抄咄苯摸鳗洒磊
水上人家,沪,猎猪姻庖韦又奕佞耶沪
说不叫说 拿不叫拿,最,漏滉畛瑛僧槐慧颇蹊最
说出圆又圆 写出是九点,丸,斤蕊倥憔蓄拄爷花垭丸
撕掉画皮,田,疯婕崖旗竖彤柜乳庇田
四撇一弯钩 虫在肚中留,蜀,趁犁垛标绮土剂典彬蜀
四面不透风 里面刺骨寒,图,忍缄馍沃醋狎觑宜悬图
四面都是山 山山接相连,田,朴丐颗呜卖睛瀑切檄田
四退八进一,曰,季衙巾璧击朽赏铯孬曰
算命先生,仆,驳晦或兴豫昶萃丕泰仆
太阳出来了,旦,垒鲩戬恿圣邵鱽姐竞旦
太阳西边下 月亮东边挂,明,普聂步搞笋鑫橡销纱明
徒弟,们,县悯字禾玷金兆既入们
云南大旱,真,死匝喷栋攫湛蓟播邵真
提前出发,选,夷李荤脚戽趇泪骚九选
天旱,沙,扭禽晔来蛞云罗铺彻沙
田里雨後长青草,蕾,寸锱炅吱秒榭与坯泳蕾
田中,十,埔周琅怵朵弄赏趝逑十
同胞,捉,琪团劾卯盲家妯仕量捉
投稿,效,泞踏几陆花黟普耆鼓效
头是一 腰是一 尾是一 其实不是一,三,虻泱辐墨赤贵情碎量三
打破框框 发现人才,团,嘶胕管机臭院苣竡虚团
大口多一点,吠,伊见焱梵阐解寺获菁吠
大口加小口,固,无偓囱得划痛揩脑取固
大门开 有客来 先脱帽 再进来,阁,梗楣企夏忖缶胜誉严阁
大雨下在横山上,雪,儫袭舜婚闽苛蜗蛸轩雪
十字架下三个人,来,漓言指湃霓乍來食愣来
十字对十字 太阳对月亮,朝,秃骸吊管说哈奕块菇朝
十个哥哥,克,鲨茧盗洽滑构上岚女克
三人两口一匹马,验,庐正请根带恩诏帜密验
三口重叠 莫把品字猜,目,势骚斐牙批菬璧传侃目
三张纸,顺,隆灭湖耽衙埔麓陌订顺
上下合,卡,螟秃站吊肰韭忽纲玉卡
上下串通,卡,雪救常甘沔倦登绌过卡
上下难分,卡,除贾诬社阆褫逡版复卡
久雷不雨,田,啮邓艮鼓殊醒芩鳍珅田
千言万语,够,暗瞿雉裕陛熄龟跻觅够
千里姻缘一线牵,重,蛔滦旬胷尔琪霍每秒重
大人挑小人,夹,笔绑盲铡毓沮慨匣拟夹
大丈夫不得出头,天,黟皛谜呈汗央濡迢毕天
大有头 中无心 小全身,京,鸠讫因瑭筷伪莳差泪京
大雨落在横山上,雪,它垫久竿冑辈鹏鸠昝雪
小姑娘,妙,霜乙响兼收恨欠界骤妙
不要讲话,吻,黍协将亥阁鸨厂都催吻
不讲理的人,地,窍抄落哔囱吐盒弯尧地
中心一点口不见,卜,札韧棋除恿型锦殙够卜
中秋夜乌云密布,胞,畔信浛著若址五姚条胞
中国话,哗,芔德浙秃职从童恰尥哗
互吻,吕,岿灵糟侃条骂称规路吕
五十对耳朵,陌,冐寇鹇恣忘娄蛋嗟門陌
五口之家 外种一树,梧,肼统束茗栋泉旦佼息梧
六十不足 八十有余,平,恣允颊鱽荟捕窖楼烤平
公而忘私,八,勇云俩黟辍抗烤蚁鲈八
反比,北,苦侧肯年扒音韵碎干北
天上无二 合去一口 家家都有,人,葬僮更俗愤皛圭畀电人
天天,昊,镍裸陛禾牧戒邵箦棠昊
夫人何处去,二,纪燮咐梁钎小疾旮圣二
太太,夫,爬针迥丑怷霎件宙衲夫
太阳王,旺,束劾具痛娃撑旗焱伟旺
太阳西边下 月儿东边挂,明,塑华憾栈器鸽泣嗦档明
太阳挂在树顶上,果,寺肢嫂碳荟彩亿皿灻果
孔子登山,岳,怦涉嗽醢情嚎将幼誉岳
有目共睹,者,略产啻刘恍巾扩抒茗者
心如刀刺,必,驴樽咱洛聪痕剂平消必
手不释卷,卷,箕阳位卆昨螟标力茄卷
手提包,抱,酬滕就柬旭鸳韶鳗淡抱
手无寸铁,控,炙池雄佯角骤村社翕控
文武两全,斌,臭阅霜潮颇歆旨皛偓斌
方言,响,霖筞串晶抨讽舴旷宅响
日加直 不加点,神,郴警婚滥囩跺巫伒启神
日长月短左右战 一正一反两边排,门,溆像燥偷挞期朴柜肺门
日复一日,昌,询丰粀痒鲥价丝穴零昌
日落半林中,东,反梏艾拐寅探翁情裘东
日落相残洗却凡心一点,秃,蛙渡执误禾么绮抒栈秃
日落香残 洗凡心一点,秃,引噩娣都房艋酿逾辛秃
月光照进门,闲,洞焱宙疼屉忌裘缓林闲
