有口亦难分诉,亚,孕亚
笔上难写心中情,白,札白
到此搁笔到此停,头,氦头
有情日后成双对,偕,傲偕
无情日后难相逢,是,鹇是
石榴花开慢慢红,成,劣成
冷水冲糖慢慢融,双,载双
只要两人心不变,成,碜成
总有一天会相逢,对,硂对
就此搁笔就此停,不,芩不
石榴开花慢慢红,多,坯多
冰水冲糖慢慢溶,么,瞇么
总有一日得相逢,你,族你
笔上难写心上情,彼,责彼
无情以后难相逢,友,夙友
冷水冲糖慢慢溶,活,跻活
只有两人心不变,快,荐快
总有一天得相逢,乐,姚乐
八兄弟 同赏月,脱,邮脱
白痴,保,务保
半部春秋,秦,阳秦
半导体,付,巽付
半个月,胖,鳃胖
半真半假,值,玷值
宝岛姑娘,始,瞬始
闯王失马,门,宏门
边打边谈,订,靥订
不是男孩,姓,谷姓
部位相反,陪,挂陪
草木之中有一人,茶,嫖茶
草上飞,早,旦早
长期住医院,疚,果疚
乘人不备,乖,引乖
打断念头,心,队心
添丁进口,可,罐可
春风吹又生,薪,细薪
春和秋都不热,秦,婵秦
土上有竹林 土下一寸金,等,异等
兔儿头上戴顶帽 满腹苦水无处申,冤,鼹冤
文武合一,斌,毗斌
岂止百里挑一,皑,逑皑
我没有他有 天没有地有,也,碍也
小两口一条心,患,玛患
小人国,付,放付
谢绝参观,企,蒜企
休要丢人现眼,相,都相
森林大火,焚,码焚
旭日东升,九,俸九
独留花下人 有情却无心,倩,昉倩
多一点就不准,淮,赚淮
东洋兵,晖,川晖
儿女双全,好,清好
二木不成林,相,币相
二人手拉手 钢丝绳上走,丛,哔丛
二人土上蹲,坐,倥坐
二山在一道 猜出便错了,击,洪击
二十四小时,旧,瘸旧
饭没做熟,炊,倚炊
飞蛾扑火,烛,摊烛
一斤多一点,斥,肚斥
十女同耕半边田,妻,途妻
十叁点,汁,操汁
十五天,胖,辐胖
十六两多一点,斥,婚斥
一木走过田中央,东,姥东
石头成堆,磊,曹磊
水上人家,沪,灿沪
说不叫说 拿不叫拿,最,兑最
说出圆又圆 写出是九点,丸,笑丸
撕掉画皮,田,趇田
四撇一弯钩 虫在肚中留,蜀,豫蜀
四面不透风 里面刺骨寒,图,罕图
四面都是山 山山接相连,田,谬田
四退八进一,曰,壬曰
算命先生,仆,研仆
太阳出来了,旦,儒旦
太阳西边下 月亮东边挂,明,药明
徒弟,们,宽们
云南大旱,真,父真
提前出发,选,沾选
天旱,沙,伪沙
田里雨後长青草,蕾,跎蕾
田中,十,妈十
同胞,捉,阵捉
投稿,效,毋效
头是一 腰是一 尾是一 其实不是一,三,愣三
打破框框 发现人才,团,跌团
大口多一点,吠,糯吠
大口加小口,固,叠固
大门开 有客来 先脱帽 再进来,阁,个阁
大雨下在横山上,雪,筏雪
十字架下三个人,来,沈来
十字对十字 太阳对月亮,朝,掰朝
十个哥哥,克,简克
三人两口一匹马,验,悲验
三口重叠 莫把品字猜,目,取目
三张纸,顺,荑顺
上下合,卡,纺卡
上下串通,卡,单卡
上下难分,卡,拗卡
久雷不雨,田,碎田
千言万语,够,逼够
千里姻缘一线牵,重,该重
大人挑小人,夹,橡夹
大丈夫不得出头,天,瘤天
大有头 中无心 小全身,京,仑京
大雨落在横山上,雪,郁雪
小姑娘,妙,宣妙
不要讲话,吻,讦吻
不讲理的人,地,吃地
中心一点口不见,卜,耋卜
中秋夜乌云密布,胞,社胞
中国话,哗,披哗
互吻,吕,啃吕
五十对耳朵,陌,斋陌
五口之家 外种一树,梧,赻梧
六十不足 八十有余,平,省平
公而忘私,八,凉八
反比,北,谟北
天上无二 合去一口 家家都有,人,郊人
天天,昊,理昊
夫人何处去,二,轵二
太太,夫,少夫
太阳王,旺,罂旺
太阳西边下 月儿东边挂,明,什明
太阳挂在树顶上,果,叨果
孔子登山,岳,畗岳
有目共睹,者,榭者
心如刀刺,必,斗必
手不释卷,卷,虽卷
手提包,抱,掰抱
手无寸铁,控,稼控
文武两全,斌,抨斌
方言,响,愁响
日加直 不加点,神,秩神
日长月短左右战 一正一反两边排,门,旭门
日复一日,昌,仂昌
日落半林中,东,斋东
日落相残洗却凡心一点,秃,扒秃
日落香残 洗凡心一点,秃,脲秃
月光照进门,闲,绺闲
木字多一撇,禾,俚禾
水上工程,汞,缠汞
火尽炉冷平添意马心猿,驴,常驴
王小明耳朵很大 今年十四岁 读一心国小,听,胶听
王先生坐在石头上,碧,啐碧
王昭君仰首看斜月 云天吊亡魂,望,棹望
付出爱心,受,甡受
有心得志,士,桁士
有手怀抱里 有脚想溜掉 有火点就跑,包,迫包
兄有债,歌,远歌
出一半有何不可,仙,卆仙
出自幽谷 迁於乔木,呆,犬呆
半出半进,崔,浦崔
半个人,伴,呖伴
半个月亮,胖,洲胖
半推半就,掠,迫掠
去了上半截 有了下半截 比成两半截 又无下半截,熊,鳃熊
古时候的月亮,胡,南胡
司马中原,魂,诵魂
只是近黄昏,酱,繁酱
四山纵横  两日稠缪  富由他起脚  累是他领头,田,框田
四川的狗,独,吩独
四面都是山 山山皆相连,田,茒田
失其心也,共,旨共
左有十八 右有十八 二四得八 一八得八,梵,暝梵
打开门有客来先脱帽再脱衣,阁,云阁
正月无初一,肯,二肯
正字少一横 不作止字猜,步,沗步
田里雨后长青草,蕾,文蕾
甲乙丙丁戊己庚辛壬癸,旱,菖旱
白头谐老,舌,池舌
目字加两点 别做贝字猜,贺,端贺
伊丽沙白,瑛,罗瑛
多一半,夕,酥夕
画前画后费心思,田,敫田
如箭在弦,引,遍引
存心不善 有口难言,亚,瘦亚
守门狗,戾,拍戾
旭日不出,九,绪九
皇帝新衣,袭,恁袭
一流水准,淮,含淮
石达开,研,舸研
拱猪入门,阂,吗阂
格外大方,回,征回
走出深闺人结识,佳,式佳
一千零一夜,歼,熹歼
七十二小时,晶,韶晶
需要一半 留下一半,雷,逛雷
一口咬住多半截,名,庵名
一月一日非今天,明,狄明
要一半 扔一半,奶,椽奶
综合门市,闹,惨闹
不是冤家也碰头,硼,荕硼
上气接下气,乞,乾乞
四方来合作 贡献大一点,器,潇器
贪前稍变就成穷,贫,斐贫
半布春秋,秦,黍秦
银川,泉,爱泉
一来再来,冉,涨冉
守门员,闪,嘴闪
有人偷车,输,眚输
酿酒之后隔日香,晒,短晒
半青半紫,素,摈素
自己,体,呖体
秀才翘尾巴,秃,揪秃
重点支援大西北,头,前头
身残心不残,息,南息
床前明月光,旷,艰旷
十八乘六,校,砖校
一勾心月伴三星,心,伸心
一撇一竖一点,压,啪压
八字头,学,肴学
千里挑一 百里挑一,伯,蒋伯
群雁追舟,巡,毋巡
四个人搬个木头,杰,衣杰
一人,大,挛大
一人一张口 口下长只手,拿,抬拿
一人在内,肉,庙肉
一人挑两小人,夹,匕夹
一人腰上挂把弓,夷,甾夷
一口吃掉牛尾巴,告,俩告
一口咬定,交,而交
一大二小,奈,孚奈
一斗米,料,骡料
一月七日,脂,员脂
一加一,王,搬王
一半儿,臼,何臼
一字十三点 难在如何点,汁,怪汁
一百减一,白,颇白
一夜又一夜,多,台多
一个人搬两个土,佳,仂佳
一个礼拜,旨,晒旨
一家十一口,吉,粕吉
一家有七口 种田种一亩 自己吃不够 还养一条狗,兽,偷兽
一根木棍 吊个方箱 一把梯子 搭在中央,面,茑面
一只牛,生,毛生
一只狗四个口,器,闪器
一箭穿心,必,刮必
一点一横长 一撇到南洋 南洋有个人 只有一寸长,府,懒府
一边是水 一边是山 ,汕,肝汕
一边是红 一边是绿 一边喜风 一边喜雨,秋,吓秋
七人八只眼,货,撵货
七人头上长了草,花,牛花
有两个动物 一个在水里 一个在山上,鲜,棼鲜
九十九,白,臼白
九只鸟,鸠,父鸠
九号,旭,骄旭
九辆车,轨,晕轨
九点,丸,攸丸
二八佳人,妙,蒙妙
二小姐,姿,吋姿
二兄弟 各自立,竞,琴竞
人不在其位,立,店立
人有他则变大,一,苿一
人我不分,俄,聊俄
人都到了,倒,侑倒
人无寸铁,控,寺控
人无信不立,言,拌言
八十八,米,搞米
八兄弟同赏月,脱,小脱
刀出鞘,力,究力
十一个读书人,仕,枯仕
十二点,斗,潺斗
十三点,汁,伞汁
十五人,伞,炊伞
十元买早餐 八元买豆干,干,箕干
十月十日,萌,汆萌
画时圆 写时方 有它暖 没它凉,日,梨日
圆心着力,勋,云勋
而立之年 独居川中,卅,喋卅
看上去有两头牛 其实一头也没有,年,怒年
话别之后弃前嫌,谦,诣谦
作品别具一格,吕,愆吕
左边一千不足 右边一万有余,仿,驷仿
左边十八 右边十八 总共六八四十八,校,疾校
